error,word
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,HOT
0.0,COOL
0.0,AND
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
1.0,THERE
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
1.0,THAT
0.0,THAT
0.0,MAKE
1.0,THEM
0.0,THEM
0.0,INTERESTING
1.0,INTERESTING
0.0,INTERESTING
1.0,THEIR
0.0,THEIR
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,IS
0.0,A
0.0,GIANT
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,TURTLES
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
1.0,EARTH
0.0,SINCE
0.0,THE
1.0,THE
0.0,THE
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,ARE
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,LIVED
0.0,ON
0.0,EARTH
1.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
1.0,KINDS
0.0,KINDS
0.0,HOT
0.0,DESERTS
0.0,COOL
0.0,AND
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
1.0,THAT
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
1.0,THEIR
0.0,THEIR
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
1.0,THE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,RECORD
0.0,IS
0.0,A
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
1.0,THAT
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,WAS
0.0,GIANT
0.0,INDEED
1.0,INDEED
0.0,INDEED
0.0,HE
0.0,WEIGHED
0.0,ALMOST
1.0,ALMOST
1.0,THREE
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,KNOW
0.0,THAT
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
0.0,HAVE
0.0,LIVED
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,DINOSAURS
0.0,DINOSAURS
1.0,THEY
0.0,THEY
0.0,ARE
0.0,ABLE
1.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
0.0,COOL
0.0,AND
0.0,THE
1.0,THE
0.0,OCEAN
0.0,BUT
1.0,THERE
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,ON
0.0,IS
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
1.0,TURTLE
0.0,THAT
0.0,ON
1.0,LAND
0.0,LAND
0.0,HE
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
1.0,OLD
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,ALMOST
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
1.0,KILOGRAMS
0.0,KILOGRAMS
0.0,KNOW
0.0,THAT
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
0.0,HAVE
0.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,DINOSAURS
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
0.0,DESERT
0.0,COOL
0.0,AND
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
1.0,THINGS
0.0,THINGS
0.0,THAT
0.0,THEM
0.0,INTERESTING
1.0,INTERESTING
0.0,INTERESTING
0.0,BESIDES
0.0,THEIR
1.0,ADAPTABILITY
0.0,ADAPTABILITY
1.0,ADAPTABILITY
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
0.0,CAN
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
1.0,TURTLE
0.0,TURTLE
0.0,ON
0.0,RECORD
1.0,RECORD
0.0,RECORD
0.0,IS
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
1.0,TURTLE
0.0,TURTLE
0.0,THAT
0.0,LIVES
1.0,LIVES
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
1.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
1.0,FIFTY
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHED
0.0,ALMOST
0.0,THREE
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,THEY
0.0,THEY
0.0,ABLE
0.0,TO
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,HOT
0.0,COOL
0.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
1.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHERS
0.0,THING
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,BESIDE
0.0,THEIR
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,IS
0.0,GIANT
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
1.0,LIVES
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
1.0,LIVED
0.0,LIVED
0.0,HE
0.0,LIVED
1.0,LIVED
0.0,LIVED
0.0,BE
0.0,OVER
0.0,TWO
0.0,AND
0.0,FIFTY
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHTED
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,TURTLE
0.0,LIVES
0.0,IN
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,DINOSAURS
0.0,DINOSAURS
1.0,DINOSAURS
0.0,DINOSAURS
0.0,THEY
0.0,ON
0.0,THE
0.0,HOT
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,MANY
0.0,OTHER
0.0,THAT
0.0,MAKE
0.0,MANY
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
1.0,TURTLES
1.0,OLD
0.0,OLD
0.0,TURTLE
0.0,ON
0.0,RECORD
1.0,RECORD
0.0,IS
1.0,IS
0.0,TORTOISE
0.0,A
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,HE
0.0,THEY
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,HOT
0.0,COOL
0.0,AND
0.0,MIDDLE
1.0,MIDDLE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,MANY
0.0,CAN
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,LIKE
0.0,TWO
0.0,HUNDRED
1.0,HUNDRED
0.0,HUNDRED
1.0,HUNDRED
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,THE
0.0,TURTLE
0.0,THAT
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,THE
0.0,TIME
0.0,DID
0.0,YOU
0.0,KNOW
1.0,THAT
0.0,THAT
0.0,TURTLES
0.0,HAVE
1.0,THE
0.0,THE
0.0,TIME
0.0,OF
1.0,THE
0.0,THE
0.0,DINOSAURS
1.0,THEY
0.0,THEY
0.0,ARE
1.0,ABLE
0.0,ABLE
0.0,TO
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
0.0,HOT
0.0,DESERTS
0.0,COOL
0.0,FORESTS
1.0,FORESTS
0.0,AND
1.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
1.0,THE
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
1.0,THEM
0.0,THEM
0.0,INTERESTING
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
1.0,LIVE
0.0,LIVE
1.0,A
0.0,VERY
1.0,VERY
0.0,VERY
0.0,OLD
0.0,AGE
1.0,THE
0.0,THE
0.0,TURTLE
1.0,THE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,TYPE
0.0,OF
0.0,TURTLE
1.0,THAT
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
1.0,LIVED
0.0,LIVED
1.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
1.0,THE
0.0,THE
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
1.0,YEARS
0.0,YEARS
0.0,OLD
0.0,AND
0.0,THEY
0.0,AND
1.0,THEY
0.0,WAS
1.0,GIANT
0.0,GIANT
0.0,ALMOST
1.0,THREE
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,WEIGHTED
0.0,ALMOST
0.0,KILOGRAMS
0.0,DID
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,OF
0.0,THE
0.0,DINOSAUR
1.0,DINOSAUR
1.0,ABLE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,KINDS
1.0,KINDS
0.0,ENVIRONMENTS
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
0.0,HOT
0.0,THAT
0.0,THEM
0.0,INTERESTING
0.0,MANY
0.0,TURTLES
0.0,CAN
1.0,CAN
0.0,CAN
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
1.0,GIANT
0.0,GIANT
1.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,TURTLE
0.0,THAT
0.0,LAND
0.0,HE
0.0,LIVED
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
1.0,AND
1.0,HE
0.0,HE
0.0,WAS
1.0,GIANT
0.0,GIANT
1.0,WEIGHED
0.0,DID
0.0,YOU
0.0,KNOW
1.0,THAT
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
0.0,HOT
0.0,DESERTS
1.0,DESERTS
0.0,DESERTS
1.0,DESERTS
0.0,DESERTS
0.0,COOL
0.0,FORESTS
0.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
1.0,THERE
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,RECORD
0.0,IS
0.0,A
0.0,GIANT
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,WEIGHED
0.0,ALMOST
1.0,ALMOST
1.0,THREE
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,DINOSAURS
0.0,DINOSAURS
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
1.0,HOT
0.0,HOT
0.0,DESERTS
1.0,DESERTS
0.0,DESERTS
1.0,DESERTS
1.0,COOL
0.0,COOL
0.0,FORESTS
0.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
1.0,OCEAN
0.0,BUT
1.0,THERE
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
1.0,OTHER
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,BESIDES
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
1.0,TURTLES
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,IN
1.0,THE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
1.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
1.0,TURTLE
0.0,ON
0.0,IS
0.0,A
1.0,GIANT
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
1.0,LIVED
1.0,TO
0.0,TO
0.0,BE
1.0,OVER
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
1.0,INDEED
0.0,INDEED
1.0,INDEED
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,WEIGHED
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,LIVED
0.0,EARTH
0.0,SINCE
1.0,THE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,THEY
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,HOT
0.0,DESERTS
0.0,COOL
0.0,FORESTS
0.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
1.0,THE
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
1.0,THAT
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
1.0,THEIR
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,IS
0.0,GIANT
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,LIVES
1.0,LIVES
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,AND
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHED
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
1.0,HUNDRED
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
1.0,DINOSAURS
0.0,DINOSAURS
1.0,THEY
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
1.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
1.0,HOT
0.0,HOT
0.0,DESERTS
0.0,COOL
0.0,AND
1.0,THE
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
1.0,THERE
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,BESIDES
0.0,THEIR
0.0,ADAPTABILITY
1.0,ADAPTABILITY
0.0,ADAPTABILITY
1.0,ADAPTABILITY
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
1.0,CAN
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
1.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,RECORD
1.0,RECORD
0.0,IS
0.0,A
0.0,GIANT
1.0,GIANT
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,OLD
1.0,OLD
0.0,AND
0.0,HE
0.0,WAS
1.0,GIANT
0.0,GIANT
1.0,GIANT
0.0,INDEED
1.0,INDEED
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,WEIGHED
0.0,ALMOST
1.0,THREE
0.0,THREE
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,HOT
0.0,COOL
0.0,AND
0.0,THE
0.0,MIDDLE
1.0,MIDDLE
0.0,MIDDLE
0.0,OF
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
1.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
1.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,RECORD
0.0,IS
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
1.0,LIVES
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
1.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
1.0,HUNDRED
0.0,HUNDRED
0.0,AND
0.0,FIFTY
1.0,FIFTY
0.0,FIFTY
0.0,YEARS
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
0.0,HE
0.0,WEIGHED
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,THE
0.0,THEY
0.0,TO
0.0,LIVE
1.0,LIVE
0.0,LIVE
0.0,IN
0.0,ALL
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
1.0,HOT
0.0,HOT
0.0,DESERTS
0.0,COOL
0.0,FORESTS
0.0,AND
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,THEIR
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
0.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,RECORD
0.0,IS
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
0.0,INDEED
1.0,INDEED
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,WEIGHED
0.0,WEIGHED
0.0,ALMOST
1.0,THREE
0.0,THREE
0.0,HUNDRED
0.0,DID
0.0,YOU
0.0,KNOW
0.0,TURTLES
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
0.0,SINCE
1.0,SINCE
0.0,SINCE
0.0,THE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,THEY
0.0,ARE
1.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
0.0,IN
0.0,ALL
0.0,KINDS
0.0,OF
0.0,ENVIRONMENTS
0.0,HOT
0.0,DESERT
0.0,COOL
1.0,COOL
0.0,COOL
0.0,FOREST
0.0,AND
0.0,THE
0.0,MIDDLE
0.0,OF
0.0,THE
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,OTHER
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,BESIDES
0.0,THEIR
0.0,ADAPTABILITY
1.0,ADAPTABILITY
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,LIVE
0.0,TO
0.0,A
0.0,VERY
1.0,VERY
0.0,VERY
1.0,OLD
0.0,OLD
0.0,AGE
0.0,THE
1.0,OLDEST
0.0,OLDEST
0.0,TURTLE
0.0,ON
0.0,IS
0.0,A
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,A
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
0.0,ON
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,AND
0.0,FIFTY
0.0,OLD
0.0,AND
0.0,HE
0.0,WAS
0.0,GIANT
1.0,GIANT
0.0,INDEED
1.0,INDEED
0.0,INDEED
0.0,HE
0.0,WEIGHED
1.0,WEIGHED
0.0,WEIGHED
0.0,ALMOST
0.0,THREE
0.0,HUNDRED
1.0,HUNDRED
0.0,HUNDRED
0.0,KILOGRAMS
0.0,DID
0.0,YOU
0.0,KNOW
0.0,THAT
0.0,TURTLES
0.0,HAVE
0.0,LIVED
1.0,LIVED
0.0,ON
0.0,EARTH
1.0,EARTH
0.0,SINCE
1.0,SINCE
0.0,TIME
0.0,OF
0.0,THE
0.0,DINOSAURS
0.0,THEY
0.0,ARE
0.0,ABLE
0.0,TO
0.0,LIVE
1.0,LIVE
0.0,ALL
0.0,KINDS
1.0,KINDS
0.0,OF
1.0,ENVIRONMENTS
0.0,ENVIRONMENTS
0.0,HOT
0.0,DESERTS
0.0,COOL
1.0,COOL
0.0,FORESTS
0.0,AND
0.0,MIDDLE
0.0,OF
0.0,OCEAN
0.0,BUT
0.0,THERE
0.0,ARE
0.0,MANY
0.0,THINGS
0.0,THAT
0.0,MAKE
0.0,THEM
0.0,INTERESTING
0.0,THEIR
1.0,THEIR
0.0,ADAPTABILITY
1.0,ADAPTABILITY
0.0,ADAPTABILITY
0.0,MANY
0.0,TURTLES
0.0,CAN
0.0,BE
0.0,VERY
1.0,OLD
0.0,OLD
1.0,OLD
0.0,AGE
0.0,THE
0.0,OLDEST
0.0,ON
0.0,RECORD
1.0,RECORD
0.0,IS
0.0,A
0.0,GIANT
0.0,TORTOISE
1.0,TORTOISE
0.0,TORTOISE
0.0,TYPE
0.0,OF
0.0,TURTLE
0.0,THAT
0.0,LIVES
1.0,LIVES
0.0,LIVES
0.0,ON
0.0,LAND
0.0,HE
0.0,LIVED
0.0,TO
0.0,BE
0.0,OVER
0.0,TWO
0.0,HUNDRED
0.0,AND
0.0,FIFTY
0.0,OLD
1.0,OLD
0.0,AND
0.0,HE
0.0,HAS
